Adaption,#,W,D,ID,t,ERR,RE,TAC,ODC,MDC,MV,ME,MO,,			
0,1,100,200,1.585,1687,0,0,3,5,3,7.2503,5.5757,8.1819,,RE: Target reentries			
0,2,100,300,2,1593,0,1,3,4,7,8.9343,6.4447,8.7586,,TAC: Total axis corssings			
0,66,90,300,2.1155,1547,0,1,2,2,4,3.3558,2.9119,4.3721,,			
0,67,100,200,1.585,2141,0,1,2,4,1,13.803,10.543,16.5,,			
0,68,100,300,2,1734,0,0,5,4,1,14.499,10.606,14.943,,			
0,69,90,300,2.1155,1406,0,0,1,4,4,1.7319,2.0913,2.6827,,			
0,70,100,200,1.585,1171,0,0,2,2,2,2.1679,1.4292,2.1086,,			
0,71,90,300,2.1155,4765,0,3,1,16,9,17.924,21.528,27.885,,			
0,72,100,200,1.585,1984,0,1,2,3,7,15.66,12.961,17.871,,			
0,73,90,200,1.6881,1375,0,0,2,5,2,1.7215,2.4136,2.9311,,			
0,74,90,200,1.6881,1218,0,0,2,5,2,3.8503,3.0824,4.8181,,			
0,75,90,300,2.1155,1625,0,0,1,2,6,11.692,13.19,17.41,,			
0,76,80,250,2.0444,1906,0,0,3,5,1,7.7774,6.5017,8.7896,,			
0,77,80,350,2.4263,1516,0,0,2,4,1,16.577,12.179,20.173,,			
0,78,70,250,2.1926,1766,0,0,3,2,6,40.079,35.866,53.043,,			
0,79,70,350,2.585,3407,0,1,1,8,9,16.173,23.807,28.658,,			
0,80,90,200,1.6881,1281,0,3,11,30,22,57.036,42.148,57.652,,			
0,81,90,200,1.6881,2359,0,0,6,9,5,15.302,8.2021,15.348,,			
0,82,90,200,1.6881,1750,0,1,3,6,10,33.611,21.133,37.652,,			
0,83,100,200,1.585,2016,0,0,2,6,5,12.242,8.5704,12.109,,			
0,84,100,200,1.585,4343,0,2,4,18,19,136.48,70.877,151.58,,			
0,85,100,200,1.585,5688,0,17,23,79,101,192.47,156.94,192.28,,			
0,86,100,200,1.585,3671,0,1,4,6,7,44.629,40.315,53.721,,			
0,87,90,300,2.1155,4766,0,8,21,68,65,81.021,67.133,81.125,,			
0,88,90,200,1.6881,4954,0,4,3,19,11,17.203,25.948,30.652,,			
0,89,100,300,2,3250,0,2,4,5,7,38.157,29.338,37.751,,			
0,90,100,200,1.585,2609,0,1,3,5,7,45.943,38.114,45.436,,			
0,91,100,300,2,2875,0,1,6,8,9,31.448,32.487,43.488,,			
0,92,100,300,2,4969,0,9,18,62,61,93.059,67.678,96.212,,			
0,93,100,200,1.585,2422,0,0,4,4,5,13.781,9.5171,14.067,,			
0,94,100,300,2,2875,0,1,6,10,7,20.094,21.296,27.96,,			
0,95,90,300,2.1155,5688,0,8,15,47,43,77.239,67.518,85.608,,			
0,96,90,200,1.6881,3515,0,2,14,41,39,88.659,76.426,92.47,,			
0,97,100,200,1.585,3859,0,2,3,10,7,23.533,16.277,27.785,,			
0,98,100,300,2,2094,0,1,4,5,4,24.608,24.618,33.709,,			
0,99,100,200,1.585,2078,0,1,4,4,3,7.8413,6.0428,8.6634,,			
0,100,100,200,1.585,1531,0,0,1,4,1,14.873,9.1711,17.097,,			
0,101,90,200,1.6881,1922,0,1,3,6,5,30.055,23.032,29.87,,			
0,102,100,200,1.585,4984,0,4,10,26,30,116.59,96.108,124.69,,			
0,103,100,300,2,2250,0,3,14,35,30,58.496,38.497,62.468,,			
0,104,100,200,1.585,1953,0,0,5,6,6,9.9613,7.0035,9.8139,,			
0,105,100,300,2,1750,0,1,4,5,6,32.101,28.647,42.514,,			
0,106,90,300,2.1155,4500,0,3,4,9,11,31.336,25.903,32.447,,			
0,107,90,300,2.1155,2937,0,2,10,50,56,136.11,160.13,204.01,,			
0,108,100,200,1.585,4688,0,1,2,9,9,57.896,118.26,131.39,,			
0,109,90,200,1.6881,2328,0,0,4,4,3,62.051,50.941,79.154,,			
0,110,90,300,2.1155,2172,0,0,2,4,3,18.944,13.797,19.167,,			
0,111,100,200,1.585,4938,0,3,6,14,13,77.118,50.586,76.418,,			
0,112,100,300,2,1719,0,0,1,3,5,17.321,12.701,20.446,,			
0,113,100,200,1.585,3297,0,4,8,34,40,139.26,112.21,156.88,,			
0,114,90,200,1.6881,2141,0,7,9,40,44,187.29,138.69,191.35,,			
0,115,90,300,2.1155,1406,0,0,2,4,0,8.3878,6.33,8.7841,,			
0,116,90,200,1.6881,1312,0,1,1,2,2,13.484,13.593,18.804,,			
0,117,100,200,1.585,1719,0,0,2,3,3,15.799,10.814,15.48,,			
0,118,90,200,1.6881,3625,0,2,5,12,11,77.345,57.281,92.218,,			
0,119,90,200,1.6881,1485,0,2,6,24,22,73.693,60.968,76.016,,			
0,120,100,300,2,2641,0,0,3,6,8,17.876,13.475,17.546,,			
0,121,100,300,2,4359,0,1,4,12,9,51.222,66.916,83.017,,			
0,122,90,300,2.1155,4829,0,3,1,35,35,95.574,124.48,156.72,,			
0,123,100,200,1.585,1594,0,0,3,5,5,16.362,13.202,17.208,,			
0,124,100,200,1.585,4328,0,3,15,45,41,127.23,95.211,134.41,,			
0,125,90,200,1.6881,3187,0,2,6,7,7,14.981,13.619,16.748,,			
0,126,90,200,1.6881,4110,0,1,5,10,10,53.331,41.83,54.828,,			
0,127,100,200,1.585,2219,0,1,3,5,6,33.278,40.497,49.065,,			
0,128,90,300,2.1155,2641,0,0,4,5,7,24.474,21.833,28.865,,			
0,129,100,300,2,2000,0,2,8,27,32,94.578,88.553,117.53,,			
0,130,100,300,2,1562,0,5,6,35,32,46.663,56.202,70.071,,			
0,131,100,300,2,3547,0,2,3,9,6,7.7337,6.7766,9.3168,,			
0,132,90,200,1.6881,2984,0,0,3,6,6,17.322,15.063,17.482,,			
0,133,90,300,2.1155,4469,0,4,4,11,8,24.704,21.231,28.471,,			
0,134,100,300,2,3797,0,3,4,4,9,15.238,13.378,16.513,,			
0,135,90,300,2.1155,3047,0,1,2,10,12,13.988,14.278,19.38,,			
0,136,90,200,1.6881,2750,0,1,3,11,3,9.8168,11.539,13.748,,			
0,137,100,200,1.585,1735,0,0,3,4,5,15.623,12.265,16.717,,			
0,138,90,300,2.1155,2719,0,0,5,9,10,20.801,16.435,22.258,,			
0,139,90,200,1.6881,2141,0,1,2,4,0,41.346,32.897,42.12,,			
0,140,90,200,1.6881,2500,0,0,1,7,3,4.7993,6.2737,7.8532,,			
0,141,90,300,2.1155,3235,0,1,5,10,12,31.982,34.172,41.16,,			
0,142,90,300,2.1155,3781,0,2,4,9,3,22.586,16.519,22.838,,			
0,143,90,200,1.6881,1922,0,0,3,9,6,34.28,27.908,42.97,,			
0,144,90,200,1.6881,1782,0,0,4,5,1,2.8577,2.1286,3.032,,			
0,145,90,200,1.6881,2703,0,0,6,9,6,4.6926,4.132,5.7307,,			
0,146,90,200,1.6881,3188,0,3,8,9,12,36.518,19.549,37.143,,			
0,147,100,300,2,2000,0,0,4,5,9,10.755,8.2958,10.585,,			
0,148,70,350,2.585,1578,0,1,3,8,8,14.786,12.049,18.71,,			
0,149,70,250,2.1926,3485,0,1,4,5,7,27.212,34.298,42.793,,			
0,150,70,250,2.1926,2266,0,1,5,9,3,29.1,21.62,33.199,,			
0,151,80,350,2.4263,1531,0,1,3,2,4,14.98,11.847,15.284,,			
0,152,80,350,2.4263,5203,0,3,4,18,15,37.693,34.716,42.03,,			
0,153,70,350,2.585,2375,0,1,2,4,2,27.23,26.759,35.544,,			
0,154,70,350,2.585,2735,0,0,4,8,6,5.838,5.148,7.5649,,			
0,155,70,250,2.1926,4453,0,3,2,12,11,14.707,24.87,28.831,,			
0,156,70,350,2.585,2141,0,1,6,10,4,28.267,21.86,28.19,,			
0,157,80,250,2.0444,1391,0,0,2,5,2,3.9196,6.3071,7.3739,,			
0,158,70,250,2.1926,1453,0,0,2,4,1,12.467,11.232,14.184,,			
0,159,70,350,2.585,1859,0,1,4,4,8,18.463,15.259,20.673,,			
0,160,70,250,2.1926,1734,0,0,4,6,2,15.007,11.802,16.9,,			
0,161,80,250,2.0444,1468,0,0,2,7,6,5.6222,7.2171,9.0791,,			
0,162,80,350,2.4263,1625,0,0,1,5,7,9.9617,11.991,15.456,,			
0,163,70,250,2.1926,3687,0,2,4,13,9,21.249,18.071,24.192,,			
0,164,80,250,2.0444,1532,0,0,1,4,4,9.4508,8.1424,12.111,,			
0,165,60,350,2.7726,5547,0,4,8,13,20,31.455,25.984,31.982,,			
0,166,60,350,2.7726,2187,0,1,3,9,9,50.627,32.835,55.516,,			
0,167,60,350,2.7726,3000,0,2,3,6,8,21.477,20.23,27.583,,			
0,168,60,350,2.7726,3672,0,3,4,9,8,18.805,13.828,21.486,,			
0,169,60,350,2.7726,4234,0,3,0,7,11,11.644,22.195,25.015,,			
0,170,60,350,2.7726,1735,0,0,2,5,3,33.466,34.068,47.099,,			
0,171,60,350,2.7726,1891,0,0,3,2,5,19.171,14.503,20.443,,			
0,172,60,250,2.3692,3078,0,1,3,8,10,56.478,40.602,56.511,,			
0,173,50,350,3,1594,0,0,2,4,5,3.7167,2.6067,3.6625,,			
0,174,50,250,2.585,2282,0,0,3,6,6,24.555,19.198,25.234,,			
0,175,60,250,2.3692,3000,0,0,3,5,2,36.288,39.056,48.201,,			
0,176,60,350,2.7726,1797,0,0,3,7,4,10.322,11.24,15.105,,			
0,177,60,250,2.3692,3984,0,2,4,8,15,45.952,35.258,48.4,,			
0,178,50,350,3,2547,0,0,4,6,7,12.189,16.124,19.854,,			
0,179,50,250,2.585,1578,0,1,4,7,7,40.675,30.043,49.869,,			
0,180,50,350,3,5187,0,1,3,7,13,52.086,43.838,51.79,,			
0,181,90,300,2.1155,1562,0,0,4,17,13,82.015,68.415,94.634,,			
0,182,90,200,1.6881,1796,0,0,1,6,6,18.304,20.892,27.513,,			
0,183,90,200,1.6881,2953,0,3,4,10,10,17.902,21.517,27.598,,			
0,184,100,200,1.585,1422,0,0,2,2,3,6.8245,5.1049,6.7149,,			
0,185,100,200,1.585,1906,0,0,5,6,4,5.4744,3.7607,6.4112,,			
0,186,100,200,1.585,1875,0,0,1,4,3,6.8106,8.9282,11.146,,			
0,187,90,200,1.6881,1891,0,1,2,2,1,24.846,18.518,25.692,,			
0,188,100,300,2,1593,0,0,6,6,3,11.562,7.7037,11.495,,			
0,189,90,300,2.1155,3437,0,2,12,14,6,43.254,31.423,51.566,,			
0,190,90,200,1.6881,2797,0,1,3,5,7,10.573,11.941,14.966,,			
0,191,90,200,1.6881,1562,0,0,1,1,1,7.1684,9.2694,11.58,,			
0,192,100,200,1.585,1453,0,0,5,5,3,9.1345,5.4514,9.035,,			
0,193,100,200,1.585,3282,0,0,3,8,5,17.168,20.504,24.874,,			
0,194,100,200,1.585,2297,0,0,4,7,5,27.712,20.135,31.975,,			
0,195,100,200,1.585,1297,0,0,3,4,0,6.5139,3.8307,6.5107,,			
0,196,90,200,1.6881,1172,0,0,2,2,3,28.309,24.245,36.436,,			
0,197,100,200,1.585,1938,0,0,1,4,2,28.317,26.331,38.193,,			
0,198,90,300,2.1155,2922,0,1,5,9,11,36.714,44.325,56.279,,			
0,199,80,250,2.0444,3188,0,2,3,9,8,17.61,23.521,29.221,,			
0,200,80,350,2.4263,2359,0,1,4,6,9,25.138,24.784,32.879,,			
